round,arm,asset,horizon,regime,reward_lp,val_before,val_after,mean_reward_est,pulls_arm
21,2,BTC,7,high,0.010444005951285362,0.04126830771565437,0.03082430176436901,0.06337338918820024,4
22,0,BTC,1,high,0.0036702733486890793,0.017610643059015274,0.013940369710326195,0.04084603441879153,4
23,1,BTC,3,high,-0.0005228649824857712,0.02033413015305996,0.02085699513554573,0.03511308366432786,4
24,4,ETH,3,high,0.004726484417915344,0.041582878679037094,0.03685639426112175,-0.024069227278232568,4
25,3,ETH,1,high,0.01079336553812027,0.03344512730836868,0.022651761770248413,0.07757069021463395,5
26,5,ETH,7,high,0.008950157091021538,0.03131640702486038,0.022366249933838844,0.058042386546730995,5
27,2,BTC,7,high,-0.025705117732286453,0.04168587550520897,0.06739099323749542,0.045557687804102895,5
28,0,BTC,1,high,-0.04003143310546875,0.05452226847410202,0.09455370157957077,0.024670540913939477,5
29,1,BTC,3,high,-0.04215206205844879,0.09814110398292542,0.1402931660413742,0.01966005451977253,5
30,4,ETH,3,high,-0.0014857985079288483,0.018019752576947212,0.01950555108487606,-0.019552541524171824,5
31,3,ETH,1,high,0.003959000110626221,0.016037730500102043,0.012078730389475822,0.06530207519729933,6
32,5,ETH,7,high,0.0052163973450660706,0.019276948645710945,0.014060551300644875,0.049238055013120174,6
33,2,BTC,7,high,0.033361487090587616,0.0775407925248146,0.04417930543422699,0.04352498768518368,6
34,0,BTC,1,high,0.019303365610539913,0.03305389732122421,0.0137505317106843,0.023776011696706217,6
35,1,BTC,3,high,0.0057546114549040794,0.018857711926102638,0.013103100471198559,0.01734248067562779,6
36,4,ETH,3,high,-0.0024364078417420387,0.010344188660383224,0.012780596502125263,-0.01669985257710019,6
37,3,ETH,1,high,-0.0012579280883073807,0.01004267018288374,0.01130059827119112,0.055793503299355514,7
38,5,ETH,7,high,-0.001260986551642418,0.018058259040117264,0.01931924559175968,0.04202390621815409,7
39,2,BTC,7,high,-0.0012778155505657196,0.031613800674676895,0.032891616225242615,0.03712458722293377,7
40,0,BTC,1,high,0.0012690136209130287,0.01416589505970478,0.012896881438791752,0.02056072625730719,7
41,1,BTC,3,high,0.002967536449432373,0.02004188671708107,0.017074350267648697,0.01528891721474273,7
42,4,ETH,3,high,0.0022927289828658104,0.010897057130932808,0.008604328148066998,-0.013986626639962191,7
43,3,ETH,1,high,0.0019846013747155666,0.005999343935400248,0.004014742560684681,0.04906739055877552,8
44,5,ETH,7,high,0.0010831579566001892,0.010277426801621914,0.009194268845021725,0.03690631268545985,8
45,2,BTC,7,high,-0.0005568228662014008,0.019976524636149406,0.020533347502350807,0.03241441096179187,8
46,0,BTC,1,high,-0.0031231171451509,0.007249582093209028,0.010372699238359928,0.017600245831999928,8
