round,arm,asset,horizon,reward_lp,val_before,val_after,mean_reward_est,pulls_arm
20,0,BTC,1,-0.020639438182115555,0.025136280804872513,0.04577571898698807,-0.011183241382241249,3
21,9,LTC,1,0.0001069195568561554,0.014445004053413868,0.014338084496557713,0.0051432400941848755,2
22,9,LTC,1,-0.0008781310170888901,0.014338084496557713,0.015216215513646603,0.0031361163904269538,3
23,1,BTC,3,0.014510834589600563,0.04196280986070633,0.027451975271105766,0.007393495490153631,3
24,13,XRP,3,0.0005402788519859314,0.02809675969183445,0.02755648083984852,0.010567426681518555,2
25,0,BTC,1,0.004861306864768267,0.011200059205293655,0.006338752340525389,-0.00717210432048887,4
26,12,XRP,1,-0.00027544237673282623,0.019366638734936714,0.01964208111166954,-0.00027544237673282623,1
27,13,XRP,3,0.0003791600465774536,0.02829468809068203,0.027915528044104576,0.007171337803204855,3
28,11,LTC,7,0.0008133538067340851,0.03472001850605011,0.033906664699316025,0.0008133538067340851,1
29,4,DOGE,3,0.00234132818877697,0.016740189865231514,0.014398861676454544,0.005533518890539805,3
30,7,ETH,3,-0.004577131941914558,0.00780099630355835,0.012378128245472908,0.008995044277980924,4
31,9,LTC,1,0.000680338591337204,0.020720282569527626,0.020039943978190422,0.0025221719406545162,4
32,0,BTC,1,0.00218779593706131,0.012935188598930836,0.010747392661869526,-0.005300124268978834,5
33,0,BTC,1,0.000976869836449623,0.010747392661869526,0.009770522825419903,-0.004253958584740758,6
34,0,BTC,1,-0.0040482161566615105,0.009770522825419903,0.013818738982081413,-0.004224566809300866,7
35,3,DOGE,1,0.0011459533125162125,0.006833901163190603,0.005687947850674391,-0.01037780661135912,2
36,9,LTC,1,0.0023213373497128487,0.014183512888848782,0.011862175539135933,0.002482005022466183,5
37,0,BTC,1,0.005470785312354565,0.019289392977952957,0.013818607665598392,-0.003012647794093937,8
38,8,ETH,7,-0.0024133892729878426,0.011156244203448296,0.013569633476436138,-0.0024133892729878426,1
39,14,XRP,7,0.0015472397208213806,0.0407475084066391,0.03920026868581772,0.010751319428284962,3
40,13,XRP,3,0.0005861800163984299,0.021860530599951744,0.021274350583553314,0.005525048356503248,4
41,9,LTC,1,0.00015089847147464752,0.007278598379343748,0.007127699907869101,0.0020934872639675937,6
42,4,DOGE,3,-0.00042104534804821014,0.0074756937101483345,0.007896739058196545,0.004044877830892801,4
43,9,LTC,1,-0.000440036877989769,0.007000801153481007,0.007440838031470776,0.0017315552436879705,7
44,6,ETH,1,-0.0017734812572598457,0.007854984141886234,0.00962846539914608,0.003307496663182974,2
45,13,XRP,3,-0.0001833103597164154,0.023180151358246803,0.02336346171796322,0.004383376613259315,5
46,3,DOGE,1,-0.00028889160603284836,0.010591477155685425,0.010880368761718273,-0.0070148349429170285,3
47,2,BTC,7,0.0003021806478500366,0.02028626762330532,0.019984086975455284,0.004776306450366974,2
48,13,XRP,3,0.0010551437735557556,0.02283744141459465,0.021782297641038895,0.0038286711399753886,6
49,4,DOGE,3,0.0005311444401741028,0.010837122797966003,0.0103059783577919,0.0033421311527490616,5
50,7,ETH,3,-0.0015802821144461632,0.012008115649223328,0.01358839776366949,0.0068799789994955065,5
51,5,DOGE,7,0.00058729387819767,0.011657576076686382,0.011070282198488712,-0.00903678871691227,3
52,2,BTC,7,0.0014487747102975845,0.02187732793390751,0.020428553223609924,0.0036671292036771774,3
53,4,DOGE,3,5.974620580673218e-05,0.009552962146699429,0.009493215940892696,0.00279506699492534,6
54,1,BTC,3,0.00029088929295539856,0.011442364193499088,0.01115147490054369,0.005617843940854073,4
55,3,DOGE,1,2.4845823645591736e-05,0.00890197791159153,0.008877132087945938,-0.005254914751276374,4
56,8,ETH,7,0.0004744119942188263,0.010277015157043934,0.009802603162825108,-0.0009694886393845081,2
