round,arm,asset,horizon,reward_lp,val_mse_before,val_mse_after,mean_reward_est,pulls_arm
25,2,BTC,7,-0.001633964478969574,0.021641230210661888,0.023275194689631462,-0.019183244556188583,2
26,6,XRP,1,0.0018565868958830833,0.011165713891386986,0.009309126995503902,-0.025053363759070635,2
27,4,LTC,3,0.0003446638584136963,0.008897324092686176,0.00855266023427248,-0.026454249396920204,2
28,5,LTC,7,-8.870195597410202e-05,0.013451330363750458,0.01354003231972456,-0.02997829904779792,2
29,0,BTC,1,0.0013680066913366318,0.027131857350468636,0.025763850659132004,-0.057836574502289295,2
30,1,BTC,3,0.0077225323766469955,0.032360952347517014,0.024638419970870018,-0.057940405793488026,2
31,3,LTC,1,-0.0005834251642227173,0.005403872113674879,0.005987297277897596,0.04409429865578811,3
32,10,ETH,3,-0.0004462245851755142,0.005323088727891445,0.005769313313066959,0.021341934179266296,3
33,9,ETH,1,-0.002432212932035327,0.003720637643709779,0.006152850575745106,0.017987675732001662,3
34,12,DOGE,1,-0.0010876916348934174,0.0034425784833729267,0.004530270118266344,0.015283396622786919,3
35,13,DOGE,3,-0.0011611059308052063,0.005730639211833477,0.006891745142638683,0.011332388035953045,3
36,14,DOGE,7,-0.0009300187230110168,0.008411095477640629,0.009341114200651646,0.008113695308566093,3
37,8,XRP,7,-9.641051292419434e-05,0.043634410947561264,0.04373082146048546,0.006851150343815485,3
38,11,ETH,7,0.002538401633501053,0.01946835219860077,0.016929950565099716,0.0061328647037347155,3
39,7,XRP,3,0.002615205943584442,0.025921959429979324,0.023306753486394882,-0.0021726874013741813,3
40,2,BTC,7,0.0009492002427577972,0.0193401537835598,0.018390953540802002,-0.012472429623206455,3
41,6,XRP,1,0.0013561919331550598,0.014225631952285767,0.012869440019130707,-0.01625017852832874,3
42,4,LTC,3,0.000309712253510952,0.012671967968344688,0.012362255714833736,-0.017532928846776485,3
43,5,LTC,7,0.0003751646727323532,0.017631255090236664,0.01725609041750431,-0.01986047780762116,3
44,0,BTC,1,-0.0003383634611964226,0.006874344311654568,0.00721270777285099,-0.03867050415525834,3
45,1,BTC,3,0.0006252611055970192,0.012500472366809845,0.011875211261212826,-0.03841851682712634,3
46,3,LTC,1,-0.0010724486783146858,0.009090972132980824,0.01016342081129551,0.032802611822262406,4
47,10,ETH,3,-0.0006441585719585419,0.0061280024237930775,0.006772160995751619,0.015845410991460085,4
48,9,ETH,1,-0.0008586123585700989,0.004872601013630629,0.0057312133722007275,0.013276103709358722,4
49,12,DOGE,1,-0.0019725672900676727,0.010544599033892155,0.012517166323959827,0.010969405644573271,4
50,13,DOGE,3,-0.002852807752788067,0.013473381288349628,0.016326189041137695,0.007786089088767767,4
51,14,DOGE,7,-0.0025493912398815155,0.01725439541041851,0.019803786650300026,0.005447923671454191,4
52,8,XRP,7,0.0030953027307987213,0.04390066862106323,0.04080536589026451,0.0059121884405612946,4
53,11,ETH,7,0.002672928385436535,0.012941902503371239,0.010268974117934704,0.0052678806241601706,4
54,7,XRP,3,0.002606550231575966,0.02370079979300499,0.021094249561429024,-0.0009778779931366444,4
55,2,BTC,7,-0.0018711667507886887,0.021395603194832802,0.02326676994562149,-0.009822113905102015,4
